Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"302",11,6,3,3,1,29,58,177,314,137,51,85,58,51,59,75,109,68,76,93,60,37,41,20
"366",28,11,3,2,4,12,105,176,299,180,96,60,77,84,66,71,83,85,131,67,62,48,41,42
"477",143,36,35,16,12,146,101,214,374,424,313,205,174,203,258,327,368,907,1322,682,402,201,213,174
"173",31,30,20,14,6,19,48,238,696,559,374,317,254,282,300,296,424,403,350,229,158,153,130,95
"445",56,38,45,24,7,39,183,382,590,250,356,322,344,344,309,300,328,358,454,373,261,178,112,84
"301",60,26,19,8,8,35,166,324,413,161,145,255,252,248,248,276,216,289,331,269,265,158,189,113
"3160",21,10,0,1,4,25,26,112,348,169,125,171,224,214,253,203,229,256,205,134,82,43,102,19
"280",28,13,7,7,4,20,59,101,172,150,131,139,146,181,163,171,185,312,323,294,220,146,93,76
"354",9,7,4,5,1,5,24,79,95,47,55,39,45,40,36,33,60,38,29,27,36,26,23,8
"128",64,35,11,14,24,26,64,217,487,445,249,292,318,319,401,350,426,697,756,540,367,242,198,138
"493",18,27,12,3,2,21,85,135,178,137,156,228,303,326,287,288,406,352,214,142,99,43,40,27
"398",33,15,7,1,0,3,6,37,59,91,70,93,106,112,146,120,175,143,158,129,157,121,63,33
"515",33,21,9,6,36,52,240,374,181,157,185,154,154,199,213,249,263,444,454,387,284,160,158,101
"263",35,7,7,5,3,38,88,124,159,209,227,237,224,251,255,275,289,318,391,339,282,173,106,77
"483",83,44,24,16,11,39,87,203,388,318,156,238,255,291,301,267,297,443,527,504,366,291,259,156
"265",66,46,25,16,18,11,20,95,285,396,183,174,191,232,226,252,247,346,466,364,301,229,207,125
"251",72,42,35,17,14,10,81,166,227,324,256,255,297,317,315,298,281,411,625,620,437,278,200,141
"466",48,16,16,4,9,37,89,206,496,432,277,268,352,334,338,361,486,811,620,377,278,159,134,92
"3140",25,10,8,1,11,44,150,562,483,212,181,152,183,172,187,201,211,311,294,245,184,111,96,98
"401",99,72,48,46,30,11,41,205,512,206,169,218,210,247,250,237,231,293,349,335,247,222,147,137
"3172",14,3,3,2,1,13,107,173,105,72,42,52,72,95,87,79,89,120,149,122,71,46,42,26
"367",17,9,2,0,1,3,33,80,149,114,115,140,169,183,185,178,482,862,712,186,54,31,20,28
"490",105,33,22,11,39,137,320,293,579,578,328,324,350,355,401,446,510,991,1247,688,476,358,280,194
"531",81,49,34,27,16,12,90,182,342,299,217,171,196,210,239,220,259,308,488,376,289,185,155,121
"311",49,17,22,14,5,17,40,106,276,246,143,111,132,135,125,156,176,223,259,203,180,117,97,87
"3151",13,0,1,2,0,5,87,308,442,91,63,66,63,68,69,61,87,104,114,95,74,37,20,24
"2008",35,17,16,4,4,24,90,184,368,255,262,287,367,409,441,470,526,582,649,531,420,222,107,67
"457",35,28,10,7,7,33,92,222,519,502,293,330,418,333,369,376,479,495,540,339,238,144,96,63
"3145",20,7,6,3,0,17,78,334,587,306,185,214,262,278,285,285,332,331,294,255,185,111,89,39
