Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"380",84,56,31,11,11,9,27,95,123,133,152,196,277,300,270,286,446,551,653,435,371,291,217,155
"259",24,7,8,1,5,4,32,143,554,486,188,192,219,240,247,260,243,242,255,226,117,69,56,31
"402",48,19,8,3,5,42,175,404,1244,1890,1106,590,615,608,614,614,661,763,830,566,317,173,137,96
"537",50,23,21,21,16,38,135,178,468,464,380,306,355,340,356,283,395,553,523,468,292,214,174,121
"3545",10,4,1,4,1,1,2,10,38,19,20,23,26,32,30,20,37,72,70,52,42,35,29,11
"3260",26,17,11,3,4,20,100,306,425,476,329,329,311,335,314,312,358,544,538,425,290,177,108,57
"422",29,16,5,3,3,31,184,136,165,132,98,98,143,137,142,136,187,294,378,364,225,154,130,64
"3160",19,12,7,3,7,3,13,32,72,107,191,214,286,345,373,354,381,401,458,239,105,79,53,38
"528",58,27,12,7,5,19,154,256,230,195,223,216,250,281,288,314,311,598,626,471,373,304,260,157
"293",56,38,20,13,12,50,112,386,741,628,527,460,506,482,428,431,515,694,876,717,457,298,222,101
"3434",3,1,0,1,1,0,3,5,16,12,19,10,11,12,9,33,22,29,61,37,30,14,6,6
"3331",19,3,2,1,0,5,13,26,46,45,53,76,99,92,108,108,121,245,304,210,131,67,50,29
"2006",41,27,11,5,20,50,229,559,593,496,548,780,822,926,768,862,856,876,784,583,376,232,138,79
"3603",19,10,2,5,2,2,2,22,12,14,29,23,34,42,24,32,50,65,93,71,51,45,44,29
"445",174,84,47,27,17,25,46,105,132,148,182,189,261,321,311,348,480,760,1049,1238,997,589,366,259
"3341",38,19,5,3,3,7,18,16,38,38,31,55,58,48,60,63,90,148,134,113,81,88,61,55
"252",33,20,9,10,1,6,58,98,184,123,154,157,219,218,255,260,282,377,460,329,234,160,107,52
"168",22,14,13,9,5,53,144,250,653,896,471,441,499,535,508,547,592,727,735,414,274,96,63,39
"482",97,61,43,21,15,26,121,191,598,670,422,349,366,369,351,417,472,671,708,483,372,270,207,152
"161",76,44,18,22,5,3,30,89,218,283,257,325,302,343,340,355,400,553,640,474,383,270,182,140
"442",31,15,17,8,24,18,105,241,596,887,495,327,334,386,375,362,434,672,500,290,198,122,117,46
"3539",3,1,0,1,1,9,17,17,113,72,64,44,48,58,40,45,44,58,36,31,28,10,16,2
"303",12,6,5,5,1,5,29,54,215,425,206,227,314,285,293,308,343,405,444,271,137,70,43,33
"128",80,38,21,12,11,7,57,189,676,628,294,289,343,375,356,329,360,554,738,588,358,243,202,121
"3223",33,16,8,6,3,23,224,527,1147,892,336,183,183,156,142,167,158,248,207,128,104,73,62,60
