Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"244",32,15,8,0,2,0,3,4,22,30,23,29,29,30,27,27,42,54,120,104,69,85,75,50
"174",48,23,10,7,13,2,20,94,176,89,71,67,89,71,103,99,123,190,222,236,185,140,106,73
"399",16,9,5,3,1,0,3,3,30,20,13,19,26,27,21,21,24,40,70,55,44,36,15,31
"502",18,13,13,4,9,3,20,39,44,51,88,85,107,94,147,164,205,306,318,207,150,92,59,32
"520",8,3,2,3,0,11,104,251,157,84,58,86,108,120,105,100,112,82,65,61,19,12,9,5
"515",75,45,36,27,12,15,55,48,64,93,126,124,166,213,213,273,354,585,487,443,335,190,178,135
"280",59,31,5,4,3,9,24,67,154,183,126,137,206,199,234,204,249,359,351,294,197,138,91,110
"250",40,18,8,18,4,21,86,161,359,421,296,300,387,382,357,423,417,484,497,356,249,138,79,60
"320",27,12,8,6,2,5,7,50,102,186,108,106,92,103,99,88,129,165,121,89,93,69,61,32
"389",32,23,5,10,1,1,2,2,11,43,47,37,61,97,80,71,76,81,105,130,104,72,73,39
"346",42,25,12,1,2,1,20,47,94,103,135,125,172,213,209,254,274,347,319,256,202,143,110,89
"527",58,29,18,24,3,22,280,196,277,265,179,160,183,148,177,184,216,359,333,265,209,187,147,130
"168",27,13,6,5,1,45,92,165,445,642,334,332,411,447,418,454,505,612,564,413,213,76,55,37
"279",10,6,3,2,0,1,1,10,20,35,31,29,25,33,67,56,40,52,58,34,25,12,31,13
"278",8,4,2,2,3,2,21,35,19,13,11,17,23,16,11,24,30,54,61,39,30,33,25,20
"321",7,2,1,0,0,8,0,7,29,79,44,46,68,64,68,70,85,88,57,43,43,35,10,12
"304",31,16,13,4,1,2,40,180,401,237,127,124,206,223,238,239,244,235,193,175,133,92,89,41
"476",70,50,28,24,12,8,30,51,122,132,116,179,177,152,185,208,234,376,461,326,286,233,177,112
"419",13,5,2,4,1,1,1,3,9,11,10,8,21,18,14,17,15,16,38,25,25,16,15,12
"349",43,20,8,5,1,2,6,17,57,33,52,59,78,81,105,95,86,203,233,253,208,139,84,50
"528",58,28,19,8,6,22,113,141,153,181,190,201,211,240,237,298,361,523,618,437,336,291,211,138
"455",30,4,10,6,8,17,211,126,253,167,77,63,86,94,134,128,114,161,149,111,92,63,50,44
"352",14,5,4,7,2,27,152,394,335,191,128,150,185,207,182,196,219,194,166,142,100,65,52,28
"356",33,12,5,6,3,1,5,25,47,40,47,53,54,67,86,97,112,139,187,165,126,90,114,86
"393",57,13,13,7,8,2,6,22,26,22,40,45,62,66,92,148,99,183,279,221,114,93,66,77
"493",28,7,6,0,5,44,111,332,641,352,216,191,258,273,260,212,201,224,213,161,87,46,54,27
"343",8,10,8,6,2,8,14,31,19,40,24,22,41,33,36,35,55,34,54,41,34,34,22,25
"291",21,18,2,8,5,1,2,27,29,34,57,36,48,83,68,112,90,199,163,163,97,100,89,36
"366",35,13,10,7,2,3,4,15,19,30,27,51,50,86,64,80,91,182,152,163,120,55,41,40
"298",10,6,0,1,0,2,12,16,11,38,27,11,28,24,26,16,24,36,78,61,58,45,22,15
"546",33,21,9,6,2,38,63,113,314,404,215,187,198,229,222,201,204,277,276,217,169,119,81,65
"384",38,15,7,5,4,3,13,19,29,23,28,47,46,38,52,45,47,85,142,113,98,62,58,47
"268",31,26,16,10,12,4,36,71,222,286,163,154,220,215,197,217,217,294,251,251,129,93,73,56
"514",39,32,10,3,6,2,22,103,201,174,186,260,271,341,378,423,510,860,733,436,337,195,132,97
"2004",22,9,6,4,0,10,24,80,321,303,101,121,163,174,140,165,173,190,177,164,91,59,42,29
"147",24,24,12,7,9,10,61,244,438,257,219,222,264,259,264,300,318,473,516,414,308,158,102,36
"260",9,6,0,1,0,1,7,54,282,95,41,35,59,52,48,50,38,69,59,51,40,21,18,10
"167",41,26,15,9,5,17,100,303,537,408,174,155,171,217,199,175,209,315,285,191,138,123,97,69
"498",46,34,17,10,10,4,33,71,263,192,149,151,192,212,184,216,343,594,442,278,208,152,88,67
"537",44,33,14,5,11,32,52,170,385,449,252,210,180,236,256,193,261,471,321,281,192,149,163,96
"408",12,10,6,5,0,7,6,15,21,31,39,57,55,61,63,98,99,213,131,111,107,69,60,29
"391",25,15,7,3,2,4,12,14,57,44,44,65,97,63,73,73,87,134,217,166,159,107,96,45
"390",11,4,6,1,0,3,15,71,128,94,32,36,34,48,38,35,31,48,39,40,36,17,21,21
